UniqueCarrier,FlightNum,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Year,CRSElapsedTime,ActualElapsedTime,ArrDelay,DepDelay,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
AS,313,SJC,PDX,569,4,26,10,2006,104,130,23,-3,2,37,0,0,23,0,0
EV,4755,ATL,DFW,732,6,27,3,2004,135,115,25,45,1442,9,25,0,0,0,0
US,1265,BDL,CLT,644,7,14,12,2003,120,173,46,-7,5,43,0,0,46,0,0
XE,2512,CLE,MCI,694,4,17,11,2005,133,131,37,39,8,13,37,0,0,0,0
AA,1454,HOU,LGA,1428,2,25,1,2005,195,190,20,25,8,11,0,0,0,0,20
AS,153,ANC,OTZ,549,6,16,8,2008,94,87,80,87,4,8,6,0,0,0,74
WN,96,ABQ,ELP,223,3,17,12,2008,50,50,15,15,3,7,3,0,0,0,12
US,229,PHX,AUS,872,2,31,7,2007,146,194,74,26,4,79,26,0,48,0,0
DH,7472,ORF,IAD,157,2,18,5,2004,57,58,275,274,10,10,0,0,275,0,0
CO,225,EWR,CLE,404,5,12,12,2003,97,127,26,-4,6,27,0,0,26,0,0
DH,7669,ORD,MLI,139,1,7,7,2003,53,83,78,48,3,51,0,48,30,0,0
AS,154,ANC,SEA,1449,5,29,12,2006,209,257,64,16,5,19,16,0,48,0,0
NW,269,LIT,MEM,129,2,28,12,2004,49,61,31,19,5,18,19,0,12,0,0
AS,697,LAS,PDX,762,4,5,10,2006,143,186,91,48,4,77,48,0,43,0,0
CO,1136,DFW,EWR,1372,2,9,10,2007,223,275,150,98,8,50,0,0,150,0,0
XE,2442,EWR,GSP,594,5,2,6,2006,124,245,241,120,3,141,120,0,121,0,0
US,662,DCA,PHX,1979,2,30,12,2008,304,324,18,-2,3,34,0,0,18,0,0
EV,5234,CVG,CAE,404,3,17,12,2008,82,81,23,24,3,21,23,0,0,0,0
DL,2475,BOS,FLL,1237,1,11,8,2003,184,197,17,4,7,20,0,0,17,0,0
CO,1438,DAB,EWR,884,6,21,6,2008,184,204,20,0,7,69,0,0,20,0,0
F9,220,SMF,DEN,910,3,30,11,2005,135,137,20,18,21,8,0,0,2,0,18
YV,7469,PIT,IAD,183,2,26,6,2007,66,71,82,77,6,29,0,0,0,0,82
AA,1703,AUS,SJC,1476,3,2,7,2008,205,221,16,0,5,18,0,0,16,0,0
OO,6230,SFO,FAT,158,5,18,5,2007,57,61,40,36,3,17,40,0,0,0,0
WN,3235,PHL,LAS,2176,7,20,4,2008,335,365,33,3,6,47,0,0,33,0,0
DL,1874,ATL,IAD,533,1,22,10,2007,106,95,40,51,3,20,1,0,0,0,39
US,168,CLT,SJU,1474,2,6,1,2004,206,216,24,14,4,10,0,0,10,0,14
HP,774,SMF,PHX,647,4,15,7,2004,111,105,28,34,5,10,0,0,0,0,28
DH,1914,IAD,GSP,383,5,16,12,2005,89,82,38,45,3,14,0,0,0,0,38
UA,421,ORD,SAN,1723,3,11,6,2008,250,285,37,2,2,41,0,0,37,0,0
NW,352,MEM,CMH,518,3,28,12,2005,92,86,40,46,6,9,5,11,0,0,24
OO,3873,SLC,MFR,575,7,4,9,2005,95,114,25,6,3,30,25,0,0,0,0
OO,4029,HDN,SLC,251,4,8,2,2007,55,64,74,65,4,10,0,0,0,0,74
MQ,4588,BOS,BGR,201,3,2,2,2005,58,104,42,-4,5,8,0,0,42,0,0
HA,181,HNL,LIH,102,4,8,1,2004,37,36,16,17,4,10,3,0,0,0,13
9E,5780,MEM,OKC,432,2,23,9,2008,93,82,21,32,3,16,21,0,0,0,0
EV,4661,DCA,GSP,396,7,16,11,2003,110,175,65,0,4,13,0,0,65,0,0
WN,344,ONT,SJC,333,7,6,1,2008,70,73,27,24,3,8,7,0,3,0,17
UA,111,ORD,LAX,1745,2,28,12,2004,263,284,25,4,7,19,0,0,25,0,0
WN,313,MDW,LAS,1521,7,13,3,2005,230,220,15,25,5,6,0,0,0,0,15
UA,949,ORD,SEA,1721,3,3,8,2005,260,267,28,21,5,35,21,0,7,0,0
XE,3068,PIT,EWR,319,1,8,1,2007,102,86,84,100,7,15,0,0,84,0,0
WN,3159,SNA,OAK,371,4,3,1,2008,85,88,25,22,4,13,0,0,3,0,22
NW,446,MSP,MEM,700,5,10,6,2005,115,132,43,26,9,21,26,0,17,0,0
UA,686,ORD,LGA,733,5,9,5,2008,136,150,72,58,3,29,0,0,72,0,0
